result,question_id,question,A,B,C,D,answer,correct,model_name
D,3844,Which object refracts light?,mirror,silver spoon,foil,glass prism,D,True,Z
A,3846,Which event becomes more likely during a drought in a prairie ecosystem?,fire,tornado,landslide,earthquake,A,True,Z
B,3847,"When scientists publish papers describing the results and conclusions of their experiments, members of the scientific community should",collect their own data and rewrite the paper.,evaluate the evidence in the paper.,accept the paper as fact.,ask the writer to write an alternate paper.,B,True,Z
A,3848,"Kim lost her hammer outside. When she found it a few months later, some parts of the metal were covered with flaky, brown rust. Which type of change occurred when rust formed on the hammer?",chemical,electrical,thermal,physical,A,True,Z
A,3849,Which human activity has most negatively affected air quality?,burning coal,growing crops,using solar energy cells,constructing nuclear power plants,A,True,Z
B,3850,Most of the bacteria in a forest ecosystem are best classified as which of the following types of organisms?,consumers,decomposers,predators,producers,B,True,Z
B,3851,A pencil falls off of a desk. What moves the pencil toward the floor?,mass,friction,gravity,speed,C,False,Z
C,3852,All of the processes listed below cause changes in Earth's surface. Which of the following is the slowest to change Earth's surface?,earthquake activity,landslide,volcanic eruption,weathering,D,False,Z
A,3854,What tool is used to determine the mass of an object?,Balance,Meter stick,Thermometer,Graduated cylinder,A,True,Z
B,3856,"When using more than the recommended amounts of pesticide on farmland, yards, and gardens, what is most likely to occur?",Higher levels of pesticide may be less effective.,The pesticides may break down quickly.,Water supplies can be contaminated by pesticide runoff.,The pesticide will increase the plant production.,C,False,Z
D,3857,"According to the fossil record, when did episodes of rapid speciation commonly take place?",while Earth's continents were joined,while Earth's habitats were stable,before major climatic changes,following mass extinctions,D,True,Z
B,3858,A deer inherits some of its features from its parents. Other features come from its environment. Which feature would a deer most likely inherit from its parents?,a long scar,brown eyes,missing teeth,a broken antler,B,True,Z
A,3860,Male peacocks have large brightly colored tail feathers. What is the most likely reason for this?,to attract potential mates,to distract potential predators,to help catch food,to preserve warmth,A,True,Z
B,3861,"In a city, the daily high and low 16 temperatures for a month are best represented by which of the following?",flow chart,line graph,pictograph,pie chart,B,True,Z
C,3862,Drew was measuring the growth of a vine that can grow almost 31 cm a day. Which would be the best way to record his data of the growth over a period of a day?,a bar graph,a line graph,a pie graph,a picture graph,B,False,Z
C,3863,All of the following are functions of a cell membrane except,surrounding and protecting the contents of the cell.,releasing waste products from the cell.,producing energy for cell processes.,allowing gases to enter the cell.,C,True,Z
C,3864,Which characteristic will a baby chimpanzee inherit from its parents?,fur color,hunting skills,feeding behavior,sleeping routine,A,False,Z
C,3866,Why are some rocks smoother and rounder than others?,They have the shapes of the minerals from which they are made.,They were smoothed by the action of wind and water.,They were squeezed up through the soil.,They hardened in rounded pockets of soil.,B,False,Z
B,3867,"A vaccine can prevent a serious disease. When a new vaccine is developed, it is given to a small group of people. Why would it be important to test each vaccine on a small group of people before everyone can have one?",to figure out how much the vaccine is worth,to determine how the vaccine will affect people,to understand how that disease affects the human body,to find out how many people are affected by the disease,B,True,Z
A,3868,When can producers make the most food?,"summer, because there is more sunlight","summer, because there is more heat","spring, because there is more rain","spring, because there are more leaves",A,True,Z
C,3869,"Plants have special tissues that transport food, water, and minerals throughout the plant. What are these tissues similar to in animals?",stomach and intestines,spinal cord and brain,arteries and veins,kidneys and liver,C,True,Z
B,3870,Which of the following statements best explains how the decomposition of plant and animal matter helps to form rich soils?,Decomposition adds silt to soil.,Decomposition adds water to soil.,Decomposition adds oxygen to soil.,Decomposition adds nutrients to soil.,D,False,Z
B,3871,Beans and coal both have stored energy. Where did the energy come from that is stored in beans and coal?,From the Earth's gravity,From the Sun's light,From the heat in the Earth's core,From the air's carbon dioxide,B,True,Z
C,3872,A metal ball has a constant velocity of zero. Which other quantity must also be zero?,weight of the ball,energy of the ball,acceleration of the ball,inertia of the ball,C,True,Z
B,3875,Which explains the pattern of day and night?,Earth orbits the sun.,Earth spins on its axis.,The sun only transmits light energy during the daytime.,The sun only transmits light energy above the equator.,B,True,Z
A,3878,Which of these best indicates that sediments can be changed into rock?,layers of sandstone,igneous intrusions,lava beds,mountains with gneiss,A,True,Z
A,3879,Carbon cycles through several Earth subsystems. Which sequence most directly leads to the cycling of carbon that can result in the formation of petroleum?,biosphere to lithosphere,atmosphere to lithosphere,hydrosphere to atmosphere,biosphere to atmosphere,A,True,Z
C,3880,Which word best describes the speed of a cart that has a positive velocity and a negative acceleration?,slow,fast,decreasing,increasing,C,True,Z
C,3881,A hurricane is a heat engine which converts one kind of energy into another. Hurricanes convert most of the heat energy into,chemical energy.,electrical energy.,mechanical energy.,potential energy.,C,True,Z
C,3882,Which of the following is a crucial piece of evidence supporting scientists' theory of how the continents and the ocean basins formed?,Gravitational forces result in the fusion of small atoms.,A differentiated iron core expresses magnetic properties.,Currents redistribute heat in an unevenly heated liquid.,A stream of charged ions disperses lightweight gases.,C,True,Z
B,3886,Which of the following is the major cause of tides?,heating of the oceans by the Sun,gravitational pull of the Moon,earthquakes on the ocean floor,changes in wind direction,B,True,Z
B,3887,A dog opens its mouth and lets its tongue hang out. A human's body produces sweat. These are two ways that organisms may adjust to,cold temperatures,hot temperatures,a shortage of food,a shortage of drinking water,B,True,Z
A,3888,"Fires in forests from lightning rid the forest of dead branches and leaves. If the trees survive and the soil remains intact, the forest will experience regrowth to its climax state by which process?",tropism,succession,gradualism,eutrophication,B,False,Z
D,3889,A class planted trees and shrubs in an empty dirt lot beside the school. The roots of the plants can help protect the soil. The soil is most likely being protected from what?,a drought,wind erosion,an earthquake,water pollution,B,False,Z
A,3890,"In the process of photosynthesis, sunlight is converted into",chemical energy.,nuclear energy.,mechanical energy.,kinetic energy.,A,True,Z
A,3891,Vascular plants have tissue called xylem. Which of these is transported by the xylem?,food made by the plant,water needed by the plant,pollen for plant reproduction,carbon dioxide for photosynthesis,B,False,Z
D,3892,"If Lisa wants to experiment with bean plants, which of these is the best example of a hypothesis?",Bean plants come in many types.,Fertilizer is good for bean plants.,All bean plants are related to each other.,Fertilizer will make bean plants grow taller.,D,True,Z
B,3893,"A jeweler melts gold to make jewelry. As the gold melts, the mass",increases.,decreases.,is destroyed.,stays the same.,D,False,Z
B,3894,Which of the following tools is most useful for tightening a small mechanical fastener?,chisel,pliers,sander,saw,B,True,Z
B,3895,"Oil, coal, and natural gas are fossil fuels formed under what conditions?",low temperature and high pressure,high temperature and high pressure,low temperature and low pressure,high temperature and low pressure,B,True,Z
B,3896,Some birds build nests in the spring. This nest building is a seasonal adaptation that occurs to help the birds,fly south,find food,protect their young,survive the winter,C,False,Z
A,3900,What energy transformation occurs when an electric lamp is turned on?,electrical energy to light and heat energy,light energy to electrical and mechanical energy,heat energy to electrical and light energy,electrical energy to mechanical and heat energy,A,True,Z
C,3901,Which phase change in the atmosphere forms clouds?,evaporation,freezing,condensation,melting,C,True,Z
D,3903,Who was a leading authority on continental drift in the early 1900s?,Alfred Wegener,Albert Einstein,Charles Richter,Charles Darwin,A,False,Z
C,3904,"In addition to oxygen, which gases make up the largest percentage of Earth's atmosphere?","hydrogen, helium, and water vapor","hydrogen, methane, and ozone","carbon dioxide, water vapor, and nitrogen","carbon dioxide, methane, and helium",C,True,Z
B,3905,"For many years, people have been curious about the stars. In the past, people have shared what they knew about the stars through stories and drawings. Which pair of tools would be most helpful for people today to gather and share information about stars?",a notebook and a calculator,a telescope and a computer,a calculator and a microscope,a microscope and a telescope,B,True,Z
D,3906,"During a presentation on astronomy, Professor Williams discussed various measurements in space. Which objects was she referring to when she talked about how astronomical units (AU) were determined?",the Sun and Earth,the Moon and Earth,the inner and outer planets,the Sun and the closest star,A,False,Z
C,3907,"As more people have moved to the beach, the sea turtle population has decreased. Which is most likely the cause of this decrease?",tropical storms,increase in predators,habitat loss,warmer temperatures,C,True,Z
B,3909,A student examines a new watch design. The watch has a small solar cell on its face. The main function of the solar cell is to,reduce the cost of the watch.,provide an energy source for the watch.,make the watch more attractive.,stop the watch from speeding up.,B,True,Z
B,3910,The presence of which of the following geological features provides the best evidence that glaciers once covered an area?,wide riverbeds,U-shaped valleys,underground caves,groundwater springs,B,True,Z
D,3911,Which of these is a way the people of Virginia can help restore a natural ecosystem?,Burn their trash,Plant native plants,Feed leftover meals to deer,Drain automobile oil into the grass,B,False,Z
B,3914,"According to the Big Bang Theory, which element most likely formed first?",carbon dioxide,hydrogen,oxygen,nitrogen,B,True,Z
C,3915,Tim and Carla play catch with a ball. Which term describes the motion of a ball?,shape,size,speed,weight,C,True,Z
C,3916,Which set of equipment would be best to use when investigating what is found in a sample of pond water?,"net, gloves, specimen bags","beaker, calculator, graph paper","microscope, eye dropper, slides","measuring tape, thermometer, clipboard",C,True,Z
C,3917,The Theory of Plate Tectonics revolutionized scientific thought because it,explained the movement of oceanic and continental crusts.,demonstrated how tidal forces affect coastlines.,mapped the pattern and frequency of earthquakes.,explained the mineral differences between continents.,A,False,Z
A,3918,How does repeating an experiment improve the likelihood of obtaining accurate results?,Data can be compared.,Time can be decreased.,Equipment can be added.,Procedures can be changed.,A,True,Z
B,3919,One hundred grams of water and 100 grams of vegetable oil are heated in identical containers at 70°C for 5 minutes. Their temperatures at the end of 5 minutes are different due to the difference in which property?,volume,specific heat,conductivity,chemical energy,B,True,Z
A,3920,There are MORE hours of sunlight in the Northern Hemisphere during which season?,spring,summer,fall,winter,B,False,Z
D,3921,Which force produces energy as heat?,pull,gravity,friction,magnetic,C,False,Z
A,3922,Biologists have discovered that the beluga whales of Canada's St. Lawrence River have the highest rates of cancer among animals. What is most likely the reason for this high incidence of cancer in these whales?,chemical and pollutant runoff into the ocean,average temperatures increased in the region,depletion of natural prey from the ecosystem,increased levels of carbon dioxide in the atmosphere,A,True,Z
C,3923,"Reading from left to right, elements in the same period on the Periodic Table of the Elements",have the same reactivity.,decrease in atomic mass.,increase in atomic number.,have the same number of electrons.,C,True,Z
D,3925,Which most accurately describes a circle (pie) graph?,used to demonstrate change in temperature only,used to demonstrate change that is continuous,used to demonstrate change that is not continuous,used to describe how part of the data relates to all of the data,D,True,Z
B,3927,"The orbit of Earth is almost circular and has a period of about 365 days. Compared to the orbit of Earth, which of these objects usually have highly elliptical orbits and can have periods of over 1000 years?",asteroids,meteorites,comets,moons,C,False,Z
C,3928,How is the theory of plate tectonics different from a hypothesis regarding a certain aspect of plate movement?,The theory addresses an Earth-science topic.,The theory may change if new evidence emerges.,The theory explains a number of related observations.,The theory can be evaluated by a single-variable experiment.,C,True,Z
A,3929,A large quantity of heavy rain falling in a short time period will most likely,reduce the amount of nutrients in the soil.,increase the number of minerals in the soil.,reduce oxygen levels in the soil.,increase the temperature of the soil.,A,True,Z
B,3930,An artificial pacemaker is a device that regulates the beat of the heart by an electrical stimulus. Some early pacemakers were powered by batteries and were worn externally with wires passing through the skin to the surface of the heart. Modern pacemakers are now much smaller and are implanted surgically. Which most likely has increased the lifespan and effectiveness of artificial pacemakers?,the development of thinner wires,the invention of lithium batteries,mass production of pacemaker parts,reducing the cost of producing pacemakers,B,True,Z
A,3931,A balloon filled with helium gas is set free and starts to move upward. Which of the following best explains why the helium balloon moves upward?,The density of helium is less than the density of air.,The air resistance lifts the balloon up.,There is no gravity acting on the helium balloons.,The wind blows the balloon upward.,A,True,Z
B,3932,"Oscar and Andre used a microscope to observe a sample of pond water and drew an example of each type of organism they saw. Then they compared their drawings. They discovered that their drawings of a euglena and a paramecium were alike, but their amoeba drawings had very different shapes. What are two things that Oscar's amoeba could have been doing that made his drawing look different from Andre's?",eating and moving,moving and digesting,digesting and excreting,excreting and eating,A,False,Z
B,3933,The reading on a barometer rises when the air,pressure increases.,pressure decreases.,speed increases.,speed decreases.,A,False,Z
B,3935,"In an atom, protons plus neutrons make up the atom's",electric charge.,atomic mass.,atomic number.,electron number.,B,True,Z
A,3936,A generator converts mechanical energy to electrical energy by using a conducting metal loop turning in a,magnetic field.,gravitational field.,steel sphere.,copper sphere.,A,True,Z
B,3938,Which physical property is important to have in a material used in cookware?,poor conductor of heat,good conductor of heat,low flexibility,high flexibility,B,True,Z
B,3939,Which sentence describes a characteristic of offspring produced by sexual reproduction?,The offspring have half the amount of genetic material as the parents.,The offspring contain genetic material from both parents.,The female offspring contain only genes from the mother.,The male offspring contain only genes from the father.,B,True,Z
C,3940,What is involved in creating genetically modified bacteria?,allowing them to reproduce freely,changing their food source,using biotechnology techniques,growing them on selected plants,C,True,Z
C,3941,Which of the following structures does a frog develop as it changes from a tadpole to an adult frog?,eyes,heart,lungs,tail,C,True,Z
B,3942,One cause of heat in a car engine is caused by friction between parts. Which of these reduces the amount of heat produced by friction?,fan,oil,gasoline,battery,B,True,Z
B,3943,"The primary functions of the digestive system are to break down food, absorb nutrients and excrete wastes. Once food is absorbed, what system is responsible for carrying the nutrients to the body cells?",respiratory system,circulatory system,nervous system,skeletal system,B,True,Z
C,3944,"If you breathe on a mirror, part of the mirror clouds up. What are you actually seeing when you see the mirror cloud up?",Water droplets that formed from cooled water vapor in your breath,Carbon dioxide that you are breathing out from your lungs,Oxygen that you are breathing out from your lungs,Cooled nitrogen in the air around you,A,False,Z
A,3945,The surface of the Moon is made up of,"craters, highlands, and flat areas",swirling gases,large bodies of water,a mixture of gases and water,A,True,Z
B,3946,Which sequence correctly shows the levels of increasing organization in the human body?,tissues -> cells -> organ systems -> organs,cells -> tissues -> organs -> organ systems,organs -> organ systems -> cells -> tissues,organ systems -> organs -> tissues -> cells,B,True,Z
D,3947,Which layer of the atmosphere contains the greatest amount of water vapor?,thermosphere,mesosphere,stratosphere,troposphere,D,True,Z
D,3949,Which property of water allows it to dissolve many different substances?,It is a polar molecule.,It contains hydrogen atoms.,It has a high melting point.,It has a low density.,A,False,Z
D,3950,"Nevada is much drier than regions in California that are at the same latitude. Compared to these regions in California, which feature of Nevada contributes most to this dry climate?",mountain ranges to the west,high mean elevation,frequent earthquakes,soil with a high sand content,A,False,Z
B,3951,A chemist observed bubbling and fizzing after adding an acid solution to a white powdery substance in a beaker. Which of the following can be inferred?,The acid boiled when poured into the beaker.,The acid and powder formed a new product.,A physical reaction produced a gas mixture.,A reaction occurred that produced heat.,B,True,Z
B,3952,Which of the following is visible through a reflecting telescope?,planets around other stars,black holes in deep space,moons around Jupiter,surface of Saturn,C,False,Z
A,3953,A student is using hydrochloric acid in an investigation. Which piece of safety equipment is most important during this investigation?,mask,goggles,fire extinguisher,disinfectant spray,B,False,Z
C,3954,"Generally, the deeper rock layers of Earth are older than shallower rock layers. How can the collision of two tectonic plates change the order of the rock layers?",The rock layers contain pollutants that dissolve soil.,The rock layers lack water due to extended droughts.,The rock layers are compressed forming faults and folds.,The rock layers are moved closer to rivers which erode landforms.,C,True,Z
C,3955,Which instrument should a student use to best examine bacteria?,telescope,hand lens,microscope,computer probes,C,True,Z
C,3956,Matter that is vibrating is producing ___.,gas,light,sound,shadows,C,True,Z
D,3959,A windstorm knocks down many trees in a national park. Timber companies want to get rid of the fallen trees. How would this most likely harm the park ecosystem?,reduces the risk of fire,decreases erosion problems,increases the risk of drought,removes available nutrients,D,True,Z
B,3960,A plant has yellow flowers. What best explains why the flowers are yellow?,The sunshine colored the flowers yellow.,The flowers of the parent plants were yellow.,It was very warm when they flowered.,It rained every day.,B,True,Z
A,3961,Which tool is used to determine the mass of an object?,ruler,beaker,balance,thermometer,C,False,Z
D,3962,Prairie dogs can run very quickly. This adaptation enables the prairie dog to,attract mates.,intimidate predators.,escape from predators.,chase after their young.,C,False,Z
B,3964,Samuel investigated the effect of temperature on the growth of snapdragons. He recorded the results from the investigation and found that snapdragons do not grow well in low temperatures. What is the purpose of this conclusion in the scientific process?,It helps to organize the data.,It helps to evaluate the hypothesis.,It helps to prepare for an investigation.,It helps to collect information from observations.,B,True,Z
A,3965,Which of the following best describes the purpose of cellular respiration?,to provide energy for cell activities,to produce sugar for storage in cells,to release oxygen for breathing,to supply carbon dioxide for photosynthesis,A,True,Z
C,3966,"In a meadow ecosystem, mice receive most of the energy they need to survive directly from which of the following sources?",minerals,oxygen,plants,water,C,True,Z
C,3967,Which environmental stimulus causes leaves on certain trees to change color in autumn?,loss of nutrients in the forest soil,lower air humidity in the forest,changes to amount of light,competition for survival,C,True,Z
D,3968,What is the name of the product formed from the reaction shown below? 4Fe(III) + 3O_{2} -> 2Fe_{2}O_{3},iron (II) oxide,iron (III) oxide,oxygen ferrite,diferrous trioxide,B,False,Z
A,3969,What type of galaxy is the Milky Way?,spiral,elliptical,irregular,oval,A,True,Z
D,3970,One thing that all human cells have in common is that they,control the brain.,make food.,move blood.,take in energy.,D,True,Z
C,3971,Which two systems of the body are interacting when a runner sprains his ankle?,the nervous system and the digestive system,the digestive system and the circulatory system,the respiratory system and the nervous system,the muscular system and the nervous system,D,False,Z
D,3972,Jupiter is the largest planet in the solar system. It rotates on its axis once about every 10 hours. What time period on Earth would be 10 hours long if Earth rotated on its axis once every 10 hours?,a day,a week,a month,a year,A,False,Z
C,3973,The elements sulfur (S) and oxygen (O2) combine to form a substance called sulfur dioxide (SO2). Sulfur dioxide is also formed when coal and oil are burned. Sulfur dioxide can best be described as,a metal,an atom,a compound,a nonreactive gas,C,True,Z
B,3974,Which is a major difference between the life cycles of different types of plants?,the way they die,the energy they use,the way they reproduce,the way they make food,C,False,Z
C,3976,"When a large oak tree is cut down in a forest, it leaves a gap in the forest canopy which allows smaller trees to quickly grow in the available sunlight. Which interaction is best represented among the smaller trees?",parasitism,mutualism,competition,commensalism,C,True,Z
C,3977,How long does it take for the Moon to rotate on its axis?,one day,one year,one week,one month,D,False,Z
B,3978,What is one way that humans can maintain good health?,sleep all day,exercise daily,eat snacks often,stay up late,B,True,Z
D,3979,Which is an example of a group of cells with a common structure and function?,stomach,muscle tissue,mitochondria,digestive system,B,False,Z
B,3980,"Sickle cell anemia is a genetic disease caused by an autosomal recessive gene. If each parent carries one sickle cell allele, what are the chances that their child will have sickle cell anemia?",no chance,one in four,two in four,three in four,B,True,Z
D,3981,Which statement describes animal embryos?,display all the features of an adult,represent the earliest stage of development,have the same number of cells as a fertilized egg,have half the number of chromosomes as an adult,B,False,Z
C,3982,The average temperature of the surface of Earth has increased approximately 1°C in the past century. Which reason best explains this increase in temperature?,higher levels of oxygen in the atmosphere,lower levels of ozone in the atmosphere,higher levels of carbon dioxide in the atmosphere,lower levels of nitrogen in the atmosphere,C,True,Z
D,3983,"As the population in an area grows, water usage increases. Eventually, water usage can outstrip the supply. Which measure to increase the amount of available water demonstrates the best stewardship of the resource?",discovering new reservoirs of water in the aquifer,reducing water usage through conservation measures,combining hydrogen with oxygen to make water,piping in water from an aquifer elsewhere,B,False,Z
C,3984,Which action illustrates a chemical change?,painting a wood chest,sawing a wood plank,burning wood chips,cutting down a tree,C,True,Z
D,3985,Which tool could be used to help someone count the number of ladybugs on a leaf?,hand lens,meter stick,microscope,graduated cylinder,A,False,Z
C,3986,Which two activities use most of the water used in an average U.S. household?,flushing toilets and washing clothes,washing clothes and using sink faucets,using sink faucets and showering,showering and flushing toilets,A,False,Z
B,3987,Which are the best tools to use for growing and studying bacterial cultures?,beakers,Petri dishes,microscopes,graduated cylinders,B,True,Z
D,3988,Which effect would the growing of legume crops such as beans and soybeans have?,increase the efficiency of photosynthesis,greater immunity of crops against diseases,fewer bacteria in soil and in living organisms,more usable nitrogen for other plants,D,True,Z
B,3989,Which relationship between Earth's outer core and inner core generates a large portion of Earth's magnetic field?,their relative masses,their relative motions,their relative diameters,their relative circumferences,B,True,Z
B,3991,White light can be separated into all of its component colors by,mixing the three primary colors of light.,passing the light through a prism.,passing the light through a colored filter.,using a translucent material to filter the light.,B,True,Z
C,3992,"An Italian scientist named Alessandro Volta invented the Voltaic pile in 1800. It was able to produce a steady electrical current. Based on this description, what is the modern equivalent of the Voltaic pile?",a wire,a battery,a resistor,a light bulb,B,False,Z
D,3993,Which would cause the most soil to erode from a river bank in just a few days?,animals climbing up the river bank,acid rain falling onto the river bank,heat from the sun drying the river bank,water from a flood flowing over the river bank,D,True,Z
D,3994,A student is measuring a liquid in a graduated cylinder. The student is not tall enough to read the measurement at eye level. Which of these is the best action for the student to take to read the measurement correctly?,stand on a chair,estimate the amount,pour out some of the liquid until it is at eye level,move the graduated cylinder to a lower table,D,True,Z
D,3995,"When Isaac Newton theorized that gravity caused objects to fall to the ground, he had also discovered the force that causes",chemicals to react.,volcanoes to erupt.,lightning to strike Earth.,the planets to orbit the Sun.,D,True,Z
B,3996,A disorder is associated with certain flaws in the human respiratory system. Which is most likely a typical symptom of this disorder?,poor vision,difficulty breathing,reduced muscle mass,increased saliva production,B,True,Z
B,3997,Which of these is the main contributor to the formation of hurricanes?,high barometric pressure,warm ocean air,calm ocean surface,dense surface air,B,True,Z
C,3998,Which statement correctly describes why there are fewer than 24 hours of daylight in Alaska during each day in April?,Earth’s rotation slows during the day.,Earth’s rotation slows during the night.,Earth’s rotation causes both day and night.,Earth’s tilt on its axis causes both day and night.,C,True,Z
A,3999,What best describes objects orbiting in the Kuiper Belt?,metallic,rocky,hot,icy,D,False,Z
C,4000,Coal was made from the remains of which ancient ecosystem?,rocky islands,fertile valleys,green swamps,fast-flowing rivers,C,True,Z
A,4001,Which of these describes a location where minerals are most likely to form?,cooled magma from a volcano,eroded sediment from a riverbed,weathered rock from a canyon,saturated soil from a floodplain,A,True,Z
C,4002,"In 1971, the bones of an extinct flying dinosaur were discovered. This kind of discovery helps everyone learn more about",impact of humans on Earth.,effect of gravity on animals.,history of animal species on Earth.,likelihood that dinosaurs will reappear.,C,True,Z
B,4003,Which could be a possible way to prevent wildlife species from becoming endangered?,drinking less water,establishing more habitats,cutting down more forests,stopping underground coal mining,B,True,Z
D,4004,The chemical reaction of ethane and oxygen produces carbon dioxide and water. Which is the best form to identify reactants and products of the reaction?,a table,a graph,a diagram,an equation,D,True,Z
A,4005,Rheumatoid arthritis is a disease that occurs when the body attacks its own tissues. Which body system becomes disordered first?,immune,nervous,digestive,circulatory,A,True,Z
A,4006,Variation in which property between water at different temperatures contributes most to the formation of horizontal ocean layers having distinct temperatures?,density,viscosity,turbidity,acidity,A,True,Z
A,4007,Which event would most likely cause a rapid extinction of organisms?,a large asteroid impact,regional drought,new glacier formation,a decrease in the growth of weeds,A,True,Z
D,4008,"When an octopus feels threatened, it can release black ink into the water. The ink MOST likely helps the octopus",move quickly through the water.,breathe oxygen from the water.,hide from predators.,use food faster.,C,False,Z
D,4011,Which pair of items will repel each other?,a positively-charged wool sock and a neutral plastic bag,a neutral cotton sweater and a negatively-charged plastic pellet,a negatively-charged balloon and a positively-charged piece of paper,a negatively-charged plastic strip and a negatively-charged piece of cloth,D,True,Z
C,4012,"In your body, what two organs work together to make sure that oxygen gets to all the other organs of your body?",Lungs and kidneys,Heart and lungs,Brain and kidneys,Heart and liver,B,False,Z
B,4013,"Each organ in the digestive system has a specific function. During digestion, food passes from the stomach into the small intestine. Which statement best describes what takes place in the small intestine?",Nutrients are absorbed from the food.,Wastes are prepared to pass out of the body.,Food is churned with acid to break down proteins.,Excess water is reabsorbed into the blood stream.,A,False,Z
D,4015,"A strawberry farmer finds that, after a hard freeze, some of his strawberries are still alive. Which best explains why these strawberries were able to survive?",They have larger leaves to protect the fruit than the other strawberries.,They have different genetic variations that cause them to be more resistant to cold temperatures.,They are able to reproduce more quickly than the other strawberries.,"The color of the strawberries is darker, and they maintain their temperature better than other strawberries.",B,False,Z
A,4016,Which event would most likely result in more food for organisms that are scavengers?,Fish die and sink to the bottom of a pond.,Trees take up and store water with roots.,Beavers build a new dam and lodge.,Plants get more sunshine and water.,A,True,Z
C,4017,"When you are riding a bicycle at night, your bicycle's reflectors help people in cars see your bicycle. How do bicycle reflectors work?",They are made of a special material that gives off its own light.,They are hooked up to batteries that allow them to produce light.,They bounce light back from other sources.,They are covered with paint that glows in the dark.,C,True,Z
A,4019,Scientists found fish fossils in the desert. What do the fossils tell about this environment when the fish were alive?,There was a forest with large trees.,There were lakes with water plants.,There were mountains with glaciers.,There was a desert with large rocks.,B,False,Z
A,4020,Chinese and European societies can use different but effective technologies when addressing medical questions. What does this demonstrate?,Varied approaches can yield successful technologies.,Not all technologies behave according to scientific laws.,The development of science and technology are independent.,Technology results more from practice than from scientific knowledge.,A,True,Z
A,4021,"The exotic plant Melaleuca, or Australian Pine, has increased the intensity of fires across the Everglades. The amount of fuel available for fires has increased due to the presence of the Melaleuca. The Melaleuca releases massive numbers of seeds in response to fire, drought, and herbicide damage. Which best describes the reason the Melaleuca has been able to survive?",adaptation,competition,diversification,mutation,A,True,Z
B,4022,"Water that is used to cool nuclear power plants can be released into water bodies, causing an area called a thermal plume. A thermal plume can be 12-18°C warmer than surrounding waters. Although some fish may be attracted to the warmer water, other organisms may not be able to survive. Government officials order a study to determine the effects of a thermal plume in a water body near a nuclear power plant in North Carolina. Which factor most related to temperature should the study focus on in order to determine whether the thermal plume is damaging the health of the water system?",pH,dissolved oxygen,nutrient concentration,turbidity,B,True,Z
B,4025,"In cherry tomatoes, red color (R) is dominant to yellow color (r). If two heterozygous plants are crossed, what percentage of the offspring will be yellow?",0%,25%,50%,100%,B,True,Z
D,4026,Which situation is an example of a feedback system in the body that maintains homeostasis?,a mouse pushing a lever to release food,a dog going to a food bowl when a bell rings,students receiving star stickers for good behavior,the brain signaling blood vessels to return to normal,D,True,Z
D,4027,Which human organ system produces sperm or egg cells?,digestive system,nervous system,respiratory system,reproductive system,D,True,Z
C,4029,What is the source of the organic matter needed for most fertile soils?,moving water,eroded sand,decaying plants,weathered bedrock,C,True,Z
D,4032,A characteristic that all living organisms have in common is they,need similar food.,have the same life span.,live in the same climate.,are made of cells.,D,True,Z
A,4033,"When the cells in an organism divide and reproduce, the organism can grow. Which cell organelle contains the genetic material for reproduction?",the nucleus,the ribosome,the mitochondrion,the endoplasmic reticulum,A,True,Z
B,4034,Measurements of carbon dioxide concentrations in the air taken over the past decade have shown a,leveling off.,slow increase.,steady decline.,dramatic increase.,D,False,Z
D,4035,All matter is made up of particles called,cells,molecules,atoms,compounds,C,False,Z
A,4037,Which of these is most likely harmful to an ecosystem?,Building new homes in a wetland,Taking away airplanes from an airport,Planting trees in an orchard,Adding floors to an office building,A,True,Z
A,4038,Which units are best to measure the amount of rain that fell during a thunderstorm?,centimeters,degrees Celsius,grams,seconds,A,True,Z
B,4039,Noah visited a park that had many oak trees. Which best describes the role of an oak tree in its ecosystem?,Oak trees can live for a long time.,Oak trees have leaves that change colors.,Oak trees have strong branches and trunks.,Oak trees are a source of food and shelter for animals.,D,False,Z
C,4040,Which of these resources will most likely be depleted first?,Wind,Solar energy,Fossil fuels,Water,C,True,Z
C,4041,"When athletes begin to exercise, their heart rates and respiration rates increase. At what level of organization does the human body coordinate these functions?",at the tissue level,at the organ level,at the system level,at the cellular level,C,True,Z
C,4042,"A student heated a pan of soup on a stove. While stirring the soup with a metal spoon, the student noticed the spoon became very warm. What is the most likely reason the spoon became warm?",The stirring action heated the spoon.,Warm air in the room heated the spoon.,Heat from the soup was transferred to the spoon.,The student's hand transferred heat to the spoon.,C,True,Z
C,4043,Where does a landslide begin?,a low hill,a plain,a mountain,a basin,C,True,Z
B,4044,"Students are learning about the natural resources in Maryland. One group of students researches information about renewable natural resources in the state. The other group researches information about nonrenewable natural resources in the state. The resources the students investigate include plants, animals, soil, minerals, water, coal, and oil. Aluminum is a nonrenewable natural resource. Which of these methods of aluminum disposal is best for the environment?",burning it,recycling it,burying it in landfills,crushing it before throwing it away,B,True,Z
B,4045,Which of the following keeps the planets in our solar system in orbit around the Sun?,atmospheric pressure,gravitational force,electromagnetic energy,thermal energy,B,True,Z
A,4046,Which human organ system primarily exchanges gases between the body and the atmosphere?,excretory,nervous,skeletal,respiratory,D,False,Z
C,4047,Moving water was the most important factor in forming which of these?,the Grand Canyon,San Andreas Fault,the Rocky Mountains,Mount St. Helens Volcano,A,False,Z
